country|quarter|coviddeaths|fullvax|econsupport|gci|gci_institutions|population|grocerymob|retailmob|workmob|stringency|rgdpqoqsa
Bulgaria|2020Q1|0.0011508337358853839|0.0|0.8241758241758241|64.8950107|56.799912559999996|6.951482|-4.032967032967033|-12.043956043956044|-9.274725274725276|18.97681318681319|-0.61636226
Bulgaria|2020Q2|0.031935636170819404|0.0|76.78571428571429|64.8950107|56.799912559999996|6.951482|-10.780219780219781|-28.593406593406595|-27.032967032967033|57.69285714285714|-7.75000106
Bulgaria|2020Q3|0.08559325910647543|0.0|62.5|64.8950107|56.799912559999996|6.9514819999999995|1.9130434782608696|2.1630434782608696|-19.597826086956523|37.913695652173914|3.5073807799999996
Bulgaria|2020Q4|0.9712041400542254|0.0|63.31521739130435|64.8950107|56.799912559999996|6.951102282608696|1.184782608695652|-27.652173913043477|-25.597826086956523|46.78010869565218|1.33977793
Bulgaria|2021Q1|0.8126886417906737|0.005835280836625438|62.5|64.8950107|56.79991256|6.916548000000001|-1.4555555555555555|-38.733333333333334|-27.0|54.33877777777778|1.8338959199999998
Bulgaria|2021Q2|0.7032409809055038|0.07928666149645748|62.5|64.8950107|56.799912559999996|6.916548|16.274725274725274|-11.472527472527473|-18.384615384615383|53.255494505494504|0.8930251400000001
Bulgaria|2021Q3|0.4078624192299396|0.18120889206581087|78.26086956521739|64.8950107|56.799912559999996|6.916548|27.23913043478261|7.184782608695652|-20.054347826086957|34.1679347826087|0.94292833
Bulgaria|2021Q4|1.4564689851165422|0.3027761245976873|87.5|64.8950107|56.799912559999996|6.915704402173913|17.130434782608695|-22.195652173913043|-22.97826086956522|48.74065217391305|1.265155
Canada|2020Q1|0.004042420952718833|0.0|10.851648351648352|79.59134442|74.07641648|37.60123|0.7032967032967034|-5.373626373626373|-8.043956043956044|14.79076923076923|-2.15730261
Canada|2020Q2|0.22791350371584287|0.0|62.5|79.59134442|74.07641648|37.60602092307692|-11.43956043956044|-37.0|-43.97802197802198|72.6045054945055|-11.04253724
Canada|2020Q3|0.016326121131300816|0.0|62.5|79.59134442|74.07641648|38.037204|1.0|-12.41304347826087|-30.83695652173913|66.27521739130434|8.98395838
Canada|2020Q4|0.16807229048696637|0.0|62.5|79.59134442|74.07641648|38.037204|-3.4239130434782608|-23.717391304347824|-29.456521739130434|69.24619565217391|2.19242126
Canada|2021Q1|0.1899193221457602|0.0020272257655951785|62.5|79.59134442|74.07641648|38.037204|-11.155555555555555|-34.48888888888889|-32.12222222222222|74.525|1.09295326
Canada|2021Q2|0.08770059166116723|0.017571250009956893|62.5|79.59134442|74.07641648|38.03949964835165|5.406593406593407|-19.945054945054945|-29.846153846153847|74.54516483516483|-0.79204875
Canada|2021Q3|0.04097148917740859|0.1438122801933206|42.119565217391305|79.59134442|74.07641648|38.246108|11.815217391304348|-1.4673913043478262|-28.380434782608695|69.26326086956522|1.30781901
Canada|2021Q4|0.06424183082890421|0.1801746729366554|37.5|79.59134442|74.07641648|38.246108|6.663043478260869|-3.967391304347826|-23.52173913043478|70.10978260869565|1.60257575
Chile|2020Q1|0.0006237352144217145|0.0|1.3736263736263736|70.53834933|63.89306764|19.238933|-0.989010989010989|-8.87912087912088|-6.428571428571429|11.141758241758243|2.27369517
