country|coviddeaths|fullvax|econsupport|gci|gci_institutions|population|grocerymob|retailmob|workmob|stringency|rgdpqoqsa
Malaysia|0.9663598207962198|0.3096077829609624|65.38987688098496|74.60161301|68.57034785|32.553541723666214|-3.3625170998632012|-31.971272229822162|-24.745554035567714|62.28808481532148|0.321997994500684
Malta|1.0793382872675088|38.02719578564974|56.087551299589606|68.54611914|61.34331245|0.44095879480164163|2.6634746922024624|-9.534883720930232|-18.839945280437757|48.77436388508892|0.5512995896032831
Mexico|2.3637250198744018|0.04335467280735478|23.768809849521205|64.94521088|48.28651685999999|126.57847756497948|5.0943912448700415|-20.114911080711355|-16.0|53.262667578659375|-0.028725824528043727
Mongolia|0.59150504690068|3.1542559699164125|53.31737346101231|52.61460105|49.76453998|3.3273171805745556|66.07523939808482|16.23939808481532|2.9958960328317374|59.19452804377565|-0.3291379977291381
Morocco|0.4172591114732908|0.13007980442296344|34.31942544459644|60.00894419|60.01721477|35.587|28.582763337893297|-17.41450068399453|-16.32284541723666|65.86775649794802|0.46127103517099877
Netherlands|1.2266534187234488|0.10391274736669072|64.22708618331053|82.39217021|78.56699484|17.441704065663476|0.7523939808481532|-17.868673050615595|-22.779753761969904|54.13928864569083|0.38315503357045144
New Zealand|0.009468918961660485|1.5763504358524245|61.8844049247606|76.74774398|78.77889223|5.072113816689467|0.02188782489740082|-8.28454172366621|-9.246238030095759|40.83632010943912|0.6187018214500685
Norway|0.2424119630272892|2.2825938259818317|33.447332421340626|78.05486405|76.91870741|5.379537147742818|5.030095759233926|-7.545827633378933|-23.32421340629275|45.984487004103975|0.4937050752941176
Philippines|0.4711490340128987|0.01620498647188974|20.1265389876881|61.86942078|49.98101784|108.84985518467853|-3.176470588235294|-33.96169630642955|-28.995896032831737|66.95302325581396|0.01592546693570439
Poland|2.5342029208072328|0.22776393333695688|62.722298221614224|68.89331151|56.43015796|38.323454500683994|6.92202462380301|-11.547195622435021|-14.93296853625171|51.16231190150479|0.8062917785636116
Portugal|1.840754554904833|0.2140071926769708|67.51025991792066|70.44752024|64.51166567|10.297082102599179|5.503419972640219|-19.917920656634745|-23.300957592339262|57.65205198358413|0.1767710377838575
Romania|3.0543910509704113|0.36967633322573845|69.95554035567716|64.35562053|58.07242453|19.265163012311902|3.2489740082079344|-16.341997264021888|-20.187414500683996|53.171792065663475|0.2333331611627908
Russia|2.069189403826054|0.03653093567867834|44.16894664842681|66.73670163|52.57112204|146.4585682640219|2.2325581395348837|-9.485636114911081|-18.924760601915185|47.736812585499315|0.40299742846785225
Serbia|1.8425784556447997|0.7839268336308106|53.864569083447336|60.85144707|52.45419188000001|6.910542865937072|11.046511627906977|-8.86046511627907|-19.707250341997263|46.94378932968536|0.8462242989466484
Singapore|0.1515433922703481|2.671837394834536|84.37072503419972|84.78381685|80.3637974|5.631429896032832|-0.9890560875512996|-23.11764705882353|-20.170998632010942|49.99035567715458|0.7997014510396717
Slovakia|3.04698898519489|0.24718940191923444|81.01915184678522|66.77227703|56.28049487|5.458794010943913|2.508891928864569|-19.31326949384405|-19.980848153214776|49.52102599179207|-0.03364041590971259
Slovenia|2.6580104080386717|4.861038238917429|60.738714090287274|70.2007865|63.3534005|2.1024255129958958|-12.170998632010944|-20.529411764705884|-19.95075239398085|53.86749658002736|0.9738859212859098
South Africa|1.5309313115229655|0.029025147316622892|52.735978112175104|62.43585799|57.07267901|59.30476041313269|4.9411764705882355|-13.683994528043776|-19.013679890560876|53.56595075239398|0.16360079935704497
South Korea|0.1085408829340175|0.18062701838374703|44.35704514363885|79.61901693|65.76120094|51.80045436525308|13.719562243502052|-5.209302325581396|-5.774281805745554|51.00796169630643|0.41613550570451435
Spain|1.8852933945169712|0.20855814465080771|77.7530779753762|75.27940537|65.06584941|47.41790606976744|-1.5020519835841313|-26.403556771545826|-23.912448700410398|55.90497948016416|-0.04018322165526671
Sweden|1.4792615979899604|0.16235688454755356|42.01436388508892|81.24718776|75.20290607|10.353577272229822|0.3707250341997264|-8.20109439124487|-21.96169630642955|48.496935704514364|0.5869423548700411
Switzerland|1.4157681485387248|1.4398949752727808|35.15731874145007|82.32511823|77.513784|8.638301032831736|2.5444596443228455|-21.707250341997263|-19.77017783857729|47.075225718194254|0.3076243387277701
Taiwan|0.036075678632725|0.0|30.76265389876881|80.24103836|68.62811795|23.581895511627906|2.1627906976744184|-14.414500683994529|-1.1409028727770179|32.441682626538984|1.2692612859097128
Thailand|0.3278250167194117|0.07828435066344819|70.07523939808482|68.11241715|54.82845465999999|66.37255549794803|7.503419972640219|-11.38577291381669|-13.630642954856361|50.76700410396717|-0.27067607941176475
United Kingdom|2.2019097347865597|0.21566566210024676|79.78796169630643|81.20356479|74.420254|67.70832589466485|-6.593707250341997|-30.805745554035568|-32.395348837209305|57.75192886456908|0.49387141399452805
United States|2.4877388125866484|0.04368532060112013|43.057455540355676|83.67331572|71.17103227|331.5943556771546|-2.1942544459644324|-12.478796169630643|-25.741450068399452|57.656073871409035|0.4919010297811219
